"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.642287499E-2,-1.404828644E0,3.538042603E0,9.181007996E0,9.938923322E0
2.640387500E-2,-1.296603699E0,3.361709290E0,9.217232666E0,9.896446257E0
3.638387499E-2,-1.137484589E0,3.215912476E0,9.500593414E0,1.009441625E1
4.636487500E-2,-1.000369720E0,3.139122162E0,9.450747070E0,1.000856871E1
5.634587500E-2,-9.249266052E-1,3.095113678E0,9.576186218E0,1.010636237E1
6.632687499E-2,-7.584727478E-1,3.043022003E0,9.529483337E0,1.003226378E1
7.630787500E-2,-8.198451233E-1,3.045417023E0,9.386081543E0,9.901779517E0
8.628787499E-2,-1.007255402E0,3.164718933E0,9.481882324E0,1.004669606E1
9.626887500E-2,-1.142124939E0,3.285218353E0,9.386829987E0,1.001047882E1
1.062498750E-1,-1.142723694E0,3.366499329E0,9.249266052E0,9.908988731E0
1.162308750E-1,-1.100810852E0,3.372187500E0,9.179810486E0,9.841359338E0
1.262118750E-1,-1.037342834E0,3.353775787E0,9.138646088E0,9.789726477E0
1.361928750E-1,-1.002764740E0,3.289858704E0,9.126072235E0,9.752635636E0
1.461728750E-1,-1.014739838E0,3.264411621E0,9.118138733E0,9.737891667E0
1.561538750E-1,-1.018931122E0,3.280578003E0,9.132059784E0,9.756788845E0
1.661348750E-1,-1.031954041E0,3.273243256E0,9.098379822E0,9.724174306E0
1.761158750E-1,-1.100960541E0,3.317251740E0,9.141190796E0,9.786605253E0
1.860968750E-1,-1.100361786E0,3.354524231E0,9.137298889E0,9.795604109E0
1.960768750E-1,-1.014141083E0,3.322490845E0,9.090296631E0,9.731439790E0
2.060578750E-1,-9.267228699E-1,3.281176758E0,9.101972351E0,9.719610942E0
2.160388750E-1,-9.261241150E-1,3.228935394E0,9.127269745E0,9.725779283E0
2.260198750E-1,-9.930349731E-1,3.212918701E0,9.125323792E0,9.725250605E0
2.360008750E-1,-1.051563263E0,3.209775238E0,9.177864532E0,9.779654378E0
2.459818750E-1,-1.057999878E0,3.214714966E0,9.170080719E0,9.774668099E0
2.559618750E-1,-1.098415833E0,3.232078857E0,9.168733521E0,9.783584489E0
2.659428750E-1,-1.112336884E0,3.226390686E0,9.192384338E0,9.805448487E0
2.759238750E-1,-1.110091553E0,3.178490295E0,9.211095428E0,9.807108789E0
2.859048750E-1,-1.096469879E0,3.197650452E0,9.222471771E0,9.822484420E0
2.958858750E-1,-1.063089294E0,3.195704498E0,9.204209747E0,9.801028679E0
3.058658750E-1,-1.011296997E0,3.124602356E0,9.177714844E0,9.747631058E0
3.158468750E-1,-1.044527893E0,3.130290527E0,9.185348969E0,9.760143082E0
3.258278750E-1,-1.115180969E0,3.181633759E0,9.176517334E0,9.776241218E0
3.358088750E-1,-1.171912994E0,3.244353333E0,9.166937256E0,9.794485554E0
3.457898750E-1,-1.166673889E0,3.258573761E0,9.174571381E0,9.805722357E0
3.557708750E-1,-1.116977234E0,3.223247223E0,9.134604492E0,9.750792790E0
3.657508750E-1,-1.068478088E0,3.168760529E0,9.125623169E0,9.719037346E0
3.757318750E-1,-1.047821045E0,3.174897766E0,9.143585815E0,9.735659522E0
3.857128750E-1,-1.119072876E0,3.232677612E0,9.150022430E0,9.768594532E0
3.956938750E-1,-1.082548828E0,3.204386444E0,9.169631653E0,9.773543324E0
